"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA","IR"
"MSHM289","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM290","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",2
"MSHM291","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM292","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM293","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM294","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM295","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM296","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM297","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",4
"MSHM298","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",0
"MSHM299","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",3
"MSHM300","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",4
"MSHM301","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM302","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM303","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",3
"MSHM304","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM305","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM306","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM307","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM308","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM309","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM310","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM311","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM312","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM313","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM314","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM315","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM316","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM317","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM318","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM319","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM320","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM321","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM322","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM323","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM324","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM325","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM326","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM327","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM328","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM329","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM330","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM331","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM332","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM333","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM334","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM335","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM336","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM337","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM338","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",4
"MSHM339","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM340","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM341","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM342","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM343","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM344","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",5
"MSHM345","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM346","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",2
"MSHM347","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",5
"MSHM348","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",1
"MSHM349","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM350","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM351","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM352","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",3
"MSHM353","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM354","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM355","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM356","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM357","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM358","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM359","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM360","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",5
"MSHM361","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM362","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM363","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM364","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM365","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM366","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM367","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM368","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM369","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM370","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM371","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM372","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM373","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM374","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM375","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM376","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM377","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM378","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM379","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM380","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM381","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM382","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM383","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM384","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM385","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM386","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",3
"MSHM387","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",2
"MSHM388","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM389","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM390","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM391","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM392","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM393","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM394","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",5
"MSHM395","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",2
"MSHM396","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",5
"MSHM397","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM398","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",3
"MSHM399","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM400","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM401","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM402","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM403","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM404","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM405","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",3
"MSHM406","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM407","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",2
"MSHM408","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",3
"MSHM409","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM410","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM411","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM412","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM413","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM414","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM415","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM416","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM417","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM418","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM419","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM420","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM421","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM422","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM423","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM424","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM425","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM426","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM427","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM428","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM429","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM430","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM431","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM432","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM433","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",3
"MSHM434","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",0
"MSHM435","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM436","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM437","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM438","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM439","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",3
"MSHM440","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM441","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",4
"MSHM442","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",2
"MSHM443","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",7
"MSHM444","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",2
"MSHM445","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",2
"MSHM446","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM447","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM448","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",3
"MSHM449","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM450","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM451","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM452","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM453","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM454","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",2
"MSHM455","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",3
"MSHM456","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",3
"MSHM457","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM458","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM459","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM460","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM461","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM462","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM463","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM464","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM465","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM466","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM467","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM468","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM469","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM470","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM471","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM472","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM473","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM474","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM475","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM476","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM477","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM478","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM479","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM480","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM481","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM482","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",2
"MSHM483","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",3
"MSHM484","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM485","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",4
"MSHM486","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM487","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM488","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM489","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",6
"MSHM490","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",4
"MSHM491","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",3
"MSHM492","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",3
"MSHM493","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",2
"MSHM494","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM495","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM496","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM497","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM498","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM499","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM500","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM501","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM502","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",4
"MSHM503","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",3
"MSHM504","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM505","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM506","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM507","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM508","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM509","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM510","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM511","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM512","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM513","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM514","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM515","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM516","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM517","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM518","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM519","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM520","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM521","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM522","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM523","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM524","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM525","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM526","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM527","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM528","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM529","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",3
"MSHM530","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM531","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM532","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM533","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM534","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM535","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",5
"MSHM536","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM537","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",3
"MSHM538","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",0
"MSHM539","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",3
"MSHM540","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",8
"MSHM541","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM542","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM543","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",3
"MSHM544","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM545","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM546","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM547","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
